,id,operation_time,code,category,timeout,answer,status
505,506,2020-01-26 01:16:36.399397,14149-14479-156,None,0.043789,provider == null,Услга не выведена
506,507,2020-01-26 01:16:36.462192,14149-14479-210,None,0.044783,provider == null,Услга не выведена
507,508,2020-01-26 01:16:36.524123,14149-14479-157,None,0.047708,provider == null,Услга не выведена
508,509,2020-01-26 01:16:36.581360,14149-14479-181,None,0.042785,provider == null,Услга не выведена
509,510,2020-01-26 01:16:36.640250,14149-14479-178,None,0.044677,provider == null,Услга не выведена
510,511,2020-01-26 01:16:36.697607,14149-14479-179,None,0.043441,provider == null,Услга не выведена
511,512,2020-01-26 01:16:36.758540,14149-14479-155,None,0.044938,provider == null,Услга не выведена
512,513,2020-01-26 01:16:36.816046,14149-14479-118,None,0.044255,provider == null,Услга не выведена
513,514,2020-01-26 01:16:36.875167,14149-14479-187,None,0.043652,provider == null,Услга не выведена
514,515,2020-01-26 01:16:36.936075,14149-14479-138,None,0.04372,provider == null,Услга не выведена
515,516,2020-01-26 01:16:36.994405,14149-14479-110,None,0.043625,provider == null,Услга не выведена
516,517,2020-01-26 01:16:37.065826,14149-14479-112,None,0.056578,provider == null,Услга не выведена
517,518,2020-01-26 01:16:37.124541,14149-14479-113,None,0.045558,provider == null,Услга не выведена
518,519,2020-01-26 01:16:37.188001,14149-14479-114,None,0.045326,provider == null,Услга не выведена
519,520,2020-01-26 01:16:37.245433,14149-14479-121,None,0.043384,provider == null,Услга не выведена
520,521,2020-01-26 01:16:37.302457,14149-14479-123,None,0.043843,provider == null,Услга не выведена
521,522,2020-01-26 01:16:37.357333,14149-14479-206,None,0.042795,provider == null,Услга не выведена
522,523,2020-01-26 01:16:37.419711,14149-14479-194,None,0.04364,provider == null,Услга не выведена
523,524,2020-01-26 01:16:37.477998,14149-14479-195,None,0.043355,provider == null,Услга не выведена
524,525,2020-01-26 01:16:37.538973,14149-14479-196,None,0.045234,provider == null,Услга не выведена
525,526,2020-01-26 01:16:37.596276,14149-14479-126,None,0.04307,provider == null,Услга не выведена
526,527,2020-01-26 01:16:37.658348,14149-14479-127,None,0.044773,provider == null,Услга не выведена
527,528,2020-01-26 01:16:37.713016,14149-14479-128,None,0.043069,provider == null,Услга не выведена
528,529,2020-01-26 01:16:37.778058,14149-14479-222,None,0.046319,provider == null,Услга не выведена
529,530,2020-01-26 01:16:37.836052,14149-14479-223,None,0.044506,provider == null,Услга не выведена
530,531,2020-01-26 01:16:37.893529,14149-14479-243,None,0.043326,provider == null,Услга не выведена
531,532,2020-01-26 01:16:37.952569,14149-14479-116,None,0.043565,provider == null,Услга не выведена
532,533,2020-01-26 01:16:38.015871,14149-14479-117,None,0.047032,provider == null,Услга не выведена
533,534,2020-01-26 01:16:38.810135,14149-14479-141,None,0.771641,bisys.OtherException: BIS-01648: OtherError:Неверный формат или значение суммы к зачислению вне допустимого диапазона,Format
